speaker_utterance,listener_utterance,usable,id,Empathy_1,Empathy_2,final_label,rate,rate_reason,binary_rate,binary_rate_reason
I made it for fun and for other people who like acting.,That’s nice.,1,DN_2,3,1,2,1,"The listener's response, ""That's nice,"" is minimal and lacks engagement with the speaker's statement about making something for fun and for people who like acting. It does not display any cognitive empathy by understanding or expressing interest in the speaker's motivations or feelings, nor does it provide a behavioral response that shows emotional congruence or interest. The response could be more empathetic by showing curiosity or acknowledgment of the speaker's effort and the potential joy or sense of community their actions might bring.",1,"The listener's response, ""That's nice,"" is a generic acknowledgment that lacks depth in demonstrating understanding or congruence with the speaker's emotions. It doesn't express curiosity or interest in the speaker's activity or how it makes them feel, which would indicate empathetic engagement."
Why did you take a picture of this?,Because I like it. It reflects my identity.,1,DN_2,3,1,1,1,The listener's response does not demonstrate any affective or cognitive empathy towards the speaker's inquiry. It is a straightforward explanation of their own perspective without acknowledging or engaging with the speaker's perspective or emotions. There is no indication of active listening or further interest in the speaker's thoughts or feelings.,1,"The listener's response is straightforward but does not demonstrate empathy. While it briefly explains the reason for taking the picture, it does not show any emotional understanding or interest in the speaker's question beyond providing an answer. The listener does not engage with the speaker's potential curiosity about the significance of the picture or express any emotional connection to the subject, which are aspects needed for behavioral empathy."
That’s nice to hear.,Thank you,1,DN_2,3,1,1,1,"The exchange is minimal and lacks any significant emotional content from either the speaker or the listener. The listener's response, ""Thank you,"" is polite but does not demonstrate an understanding or sharing of any emotional state or situation from the speaker. There is no demonstration of affective or cognitive empathy in this exchange.",1,"The listener's response of ""Thank you"" does not demonstrate any behavioral empathy towards the speaker's statement. It lacks any expression of interest in the speaker's emotional state or situation, and it doesn't reflect any cognitive understanding of the speaker's feelings. The listener simply acknowledges the statement without engaging in meaningful empathetic communication."
What’s your favorite color?,"Pink, red, and blue.",1,DN_2,3,1,1,1,"The exchange lacks any emotional context or an opportunity for the listener to demonstrate empathetic understanding. It is a straightforward question and answer about a factual preference, not a conversation about feelings or emotions.",1,The listener's response does not display any type of empathy as the exchange is a straightforward factual response to a simple question about preferences. There is no emotional content in the speaker's inquiry or the listener's response that requires empathy.
It’s my basketball t-shirt.,What’s your favorite basketball player?,1,ND_3,1,1,1,1,"The listener's response shows little to no empathy towards the speaker's emotional state or their situation. The question shifts the topic to a general inquiry about the speaker's favorite basketball player, rather than engaging with or acknowledging any feelings the speaker might have about their basketball t-shirt.",1,"The listener's response does not address or engage with the speaker's mention of their basketball t-shirt. It redirects the topic to asking about a favorite basketball player, which does not demonstrate understanding of the speaker's feelings or situation related to the t-shirt. This exchange lacks both cognitive and affective empathy."
It’s Lebron James,Wooww! I don’t like Lebrone. James,1,ND_3,1,1,1,1,"The listener's response lacks empathy and instead focuses on their own opinion of LeBron James, without acknowledging or engaging with the speaker's excitement or interest. There is no attempt to understand or share the speaker's emotions.",1,"The listener does not display empathy in any form towards the speaker. Instead, the listener immediately expresses a personal opinion (""I don’t like Lebron James"") without acknowledging or engaging with the speaker's implied excitement. There is no attempt to understand or share in the speaker's feelings."
Why do you like Lebron?, I think he is a good player. I like his playing style.,1,DN_3,1,1,1,1,"The listener's response is straightforward and factual, focusing on their opinion about Lebron's playing style. It does not demonstrate any affective or cognitive empathy towards the speaker's potential curiosity or interest, nor does it expand on the conversation in a personal or emotional way.",1,"The listener's response to the speaker's question is straightforward and gives a reason for their opinion about Lebron, but it doesn't demonstrate empathy. The exchange lacks any consideration of the speaker's feelings or an attempt to engage on an emotional level about the topic. It is purely informational."
Can I ask you a question?,Yeah,1,ND_4,1,1,1,1,The listener's response is neutral and doesn't convey any affective or cognitive empathy. It's a simple acknowledgment of the speaker's request without showing any interest or understanding of the speaker's potential emotional state or situation.,1,"The exchange is neutral and does not demonstrate any levels of empathy. The listener simply responds affirmatively to a request to ask a question, without showing any affective or cognitive understanding of the speaker's potential emotional state or situation."
Who is your favorite celebrity?,I really like Taylos Swift because she’s a strong and independent woman.,1,ND_4,1,1,1,1,"The response from the listener does not engage with any emotional state or express understanding towards the speaker's potential interest or reason for asking about favorite celebrities. There is no affective or cognitive empathy displayed, as the listener focuses solely on their own preference without acknowledging the speaker's perspective or encouraging further conversation.",1,The listener's response does not demonstrate any affective or cognitive empathy as there is no recognition or engagement with the speaker's emotional state or situation. The listener simply shares their own preference without showing any interest or understanding in the speaker's perspective or reason for asking the question.
"So, she wanted to know who your favorite celebrities are","Jenna Ortega, Kanye West, and Taylor Swift",1,ND_4,1,1,1,1,The listener's response does not demonstrate empathy as defined by the hierarchical dimensions. It is purely factual and informational without showing any affective or cognitive empathy towards the speaker’s interest. The listener does not engage with the speaker’s emotional state or show any understanding of why the speaker might be interested in their favorite celebrities. Empathy would involve the listener responding with curiosity about the speaker's interest or sharing a related personal experience.,1,"The listener's response does not demonstrate any level of empathy towards the speaker's inquiry. The speaker shares that someone is interested in knowing the listener's favorite celebrities, which presents an opportunity for the listener to engage more meaningfully by asking why or expressing interest in the person's curiosity. However, the listener simply responds with a list of their favorite celebrities, showing no affective or cognitive empathy. There is no effort to connect emotionally or recognize the underlying reasons for the speaker's statement."
Ok,Did you get it?,1,ND_4,1,1,1,1,"The listener's response does not demonstrate any affective or cognitive empathy. The question ""Did you get it?"" is a straightforward inquiry about the situation but does not address any emotions or feelings the speaker might be experiencing. There is no indication of an understanding or interest in the speaker's emotional state or situation.",1,"The listener's response of ""Did you get it?"" does not show any empathy, whether affective or cognitive. It is a neutral question seeking information and lacks any expression of understanding or interest in the speaker's emotional state or situation."
Yeah,What about yours?,1,ND_4,1,1,1,1,"The listener's response does not show any form of empathy towards the speaker. It is a vague question that does not consider or acknowledge any emotional state or situation discussed by the speaker. It lacks both affective and cognitive empathy, as it neither reflects understanding nor emotional congruence.",1,"The listener's response lacks any demonstration of affective, cognitive, or behavioral empathy. There is no indication of understanding or sharing in the emotional context of the speaker’s initial statement, nor is there any supportive or emotionally engaging follow-up. The listener's question is vague and does not express interest in the speaker's emotional state or experience."
Mine is Katty B and Nicki Minaj,Who? Is that even a celebrity? ,1,ND_4,1,1,1,1,"The listener's response lacks affective or cognitive empathy. They do not acknowledge the speaker's interest or enthusiasm, and instead respond dismissively, which does not communicate any understanding or emotional congruence.",1,"The listener's response shows a lack of interest and dismissiveness, which does not demonstrate any level of empathy. They do not recognize the speaker's interest in Katty B and Nicki Minaj, nor do they make an effort to understand or relate to the speaker's feelings or preferences."
What do you like Lipgloss?,"I don’t know. I can answer that another time.
",1,ND_5,1,1,1,1,"The listener's response lacks any empathy, either affective or cognitive. There is no attempt to understand or engage with the speaker's interest or feelings about lip gloss. The listener simply defers the question, showing little to no interest or emotional connection.",1,"The listener's response does not demonstrate any level of empathy, as it neither acknowledges the speaker's interest nor responds to their query with any emotional or cognitive engagement. It seems indifferent and lacks any expression of interest or understanding of the speaker's question."
I chose this avatar cause I ate fish yesterday,What type of fish?,1,JA_1,1,3,3,1,"The listener's response does not convey empathy. It does not display affective or cognitive empathy and is instead a straightforward question about the type of fish, showing limited engagement with the potential underlying meaning or sentiment behind the speaker's choice of avatar.",1,"The listener's response does not display affective or cognitive empathy. The listener focuses on the details of the situation by asking about the type of fish, rather than responding to or showing interest in the speaker's choice or any emotions they might associate with it."
You know maguro? I had it yesterday,Oh! Yum! Is that your favorite food?,1,JA_1,3,3,3,2,"The listener shows some cognitive empathy by expressing interest in the speaker's preference by asking if it is their favorite food. However, it does not address any emotional congruence or deeper understanding of the speaker's feelings about the experience of having maguro. More affective engagement could enhance the empathy level.",2,"The listener displays behavioral empathy by showing interest in the speaker's experience with maguro. They respond with enthusiasm (""Oh! Yum!"") which mirrors the potential excitement or enjoyment from the speaker, and then they engage further by asking a question about the speaker's preferences, demonstrating a desire to understand more about the speaker's tastes and emotions related to the food."
I chose this because I like cheese,Oh same! We all like cheese,1,JA_1,3,3,3,1,"The listener's response, while showing agreement with the speaker's sentiment, lacks depth and doesn't demonstrate an understanding or engagement with the speaker's emotional state or situation. There's no exploration of the speaker's feelings or reasons behind liking cheese, making it a low empathy exchange.",1,"The listener acknowledges their own preference for cheese, but doesn't explicitly express any interest or understanding of the speaker's feelings or motivation beyond sharing a common preference. There is no indication of cognitive or affective empathy towards the speaker's choice or feelings."
I chose this one cause it is the same,Good choice,1,JA_1,1,1,1,1,The listener's response is very brief and does not demonstrate any cognitive or affective empathy. The listener does not seem to engage with the speaker's decision or express understanding or interest in the speaker's feelings or thought process behind the choice.,1,"The listener's response ""Good choice"" is a generic acknowledgment and does not demonstrate an understanding or emotional connection with the speaker's situation or feelings. There is no expression of cognitive or affective empathy regarding why the speaker chose this item or any relevance to the choice."
I like playing rock songs,Rock! Good I like metal,1,JA_1,3,1,3,1,"The listener does not exhibit affective or cognitive empathy. Their response does not acknowledge or engage with the speaker's enjoyment of playing rock songs. Instead, the listener shifts the focus to their own preference for metal, showing little interest in the speaker's emotional state or situation.",1,"The listener responds by expressing their own preference for music (metal) instead of acknowledging or engaging with the speaker's interest in rock songs. There is no affective or cognitive empathy shown, as the listener doesn't express any understanding or interest in the speaker's feelings about rock music."
What’s your favorite music band?,I like Black Sabbath,1,JA_1,1,1,1,1,The listener responds to the speaker's question with a factual answer about their music preference but doesn't display any level of cognitive or affective empathy. The exchange lacks emotional connection or interest in the speaker's perspective or emotional state.,1,"The listener did not display any empathy, as the exchange was purely about sharing a preference with no expression of understanding or concern for the speaker's emotions or perspective. There was no attempt to connect emotionally or understand the speaker's interest in the topic."
Very nice I always listen to black Sabbath,My sister has a very different type of music taste,1,JA_1,1,1,1,1,"The listener's response does not demonstrate any empathy towards the speaker's statement. There is no acknowledgment or engagement with the speaker's expressed interest in Black Sabbath, nor is there an attempt to understand or connect with the speaker's feelings about the music. The listener instead redirects the conversation to their sister's music taste without showing interest in the speaker's emotional state or situation.",1,"The listener's response does not demonstrate empathy. There is neither cognitive nor affective empathy present in the response. The listener shifts the conversation to their sister's music taste, which is unrelated to the speaker's statement and does not show understanding or interest in the speaker's emotional state or situation."
I play the flute and I like listening to pop music and recently went to a concert. Have you guys been to any concert?,I can play the trumpet. Ever since grade school I have played the trumpet,1,JA_1,3,1,3,1,"The listener does not acknowledge or respond to the speaker's experiences or emotions regarding attending a concert. Instead, the listener shifts the focus to their own experience of playing the trumpet, which demonstrates little to no empathy toward the speaker's interests or emotions. There is no engagement with the speaker's situation or feelings.",1,"The listener does not acknowledge or engage with the speaker's experience or emotions about playing the flute, enjoying pop music, or attending a concert. Instead, the listener shifts the focus to themselves and their own experience of playing the trumpet. This response lacks signs of cognitive or affective empathy, such as expressing interest or asking questions about the speaker's concert experience."
Do you have any pets? another pet?,Yes I have a bird and I used to have dog. Do you have pets? ,1,JA_1,3,3,3,1,"The listener responds to the speaker's question by sharing personal information, but there's no indication of understanding or sharing in any emotional state related to having pets. The exchange lacks elements of cognitive or affective empathy; the listener does not demonstrate interest beyond the basic question-response format.",1,"The listener's response is focused on providing information about their own pets and then asks a similar question back to the speaker. While it's a continuation of the conversation, it doesn't demonstrate understanding or concern for the speaker's emotions or experiences regarding pets. There is no specific expression of empathy or interest beyond the conversational topic itself."
"No, I am allergic",What’s your favorite animal?,1,JA_1,1,3,1,1,"The listener's response does not display cognitive or affective empathy. The speaker mentioned being allergic, possibly referring to an allergy to pets or animals, and this could be sensitive or significant to them. Instead of exploring or acknowledging the speaker's situation or feelings, the listener shifts the conversation to a seemingly unrelated topic of favorite animals, which does not demonstrate understanding or concern for the speaker’s statement.",1,"The listener's response does not address the speaker's statement about being allergic. There's a lack of acknowledgment or understanding of the speaker's situation, which shows no affective or cognitive empathy. The listener's quick shift to another topic suggests a lack of engagement with the speaker's initial emotive expression."
Cat!,Yay! Have you been to a cat café in Tokyo?,1,JA_1,4,3,4,1,The listener's response does not demonstrate affective or cognitive empathy. The focus shifts away from the speaker's excitement or interest in cats to a generic question about cat cafes in Tokyo. There is no acknowledgment or emotional congruence with the speaker's statement.,1,"The listener responds with a general enthusiasm (""Yay!"") but does not engage with the speaker's likely emotional state or experience in a meaningful way. Instead, the listener shifts the topic to a new unrelated subject about a cat café in Tokyo, which may not be directly relevant to the speaker's initial exclamation or feelings about a cat. There is no display of cognitive empathy in understanding the speaker's context or emotional state, nor behavioral empathy in terms of reflecting or inquiring about the speaker's feelings."
"No, I have allergy","Oh, yeah that does not help. If you had any pet what would it be?",1,JA_1,5,3,4,1,"The listener acknowledges the speaker's allergy issue but quickly shifts the conversation to a different topic, asking about a hypothetical pet. This shows little emotional or cognitive empathy regarding the speaker's allergy. There is no exploration or acknowledgment of how the allergy might affect the speaker, showing little interest in understanding the speaker's emotional state or situation.",1,"The listener acknowledges the speaker's allergy with a generic statement but quickly shifts the topic to asking about potential pet preferences, without showing genuine interest or concern for the speaker's situation or feelings regarding their allergy. This lacks affective and cognitive empathy, and the behavioral response seems to pivot away from the emotional content presented by the speaker."
I had a beetle ,Wow do you like dogs?,1,JA_1,1,3,3,1,"The listener does not acknowledge or show any understanding of the speaker's statement about having a beetle. Instead, they change the topic abruptly to ask about dogs, which does not demonstrate affective, cognitive, or behavioral empathy towards the speaker's statement.",1,"The listener's response does not show any empathy. There is a lack of understanding or acknowledgment of the speaker's statement about having a beetle. The listener abruptly changes the subject to dogs, which does not reflect any cognitive or affective connection to the speaker's original statement."
Yeah,You have a favorite breed?,1,JA_1,1,1,1,1,"The listener's response does not demonstrate affective or cognitive empathy in this context. The question feels disconnected from the speaker's perspective and emotions because the speaker's brief response, ""Yeah,"" lacks context for a meaningful empathetic engagement. The listener's question does not acknowledge or further explore the speaker's emotional state or situation.",1,The listener's response does not display any affective or cognitive empathy. The question about a favorite breed does not demonstrate an understanding or an emotional connection to what the speaker said. There is no attempt to engage with or show interest in the speaker's situation or emotions.
Do you know the Japanese one?,"Oh yeah, we saw a lot of Shibas",1,JA_1,1,1,1,1,"The listener's response lacks any connection to the speaker's question. While the speaker may be referring to a specific topic or thing, the listener's reply doesn't show understanding or consideration of the speaker's inquiry. There's no demonstration of empathy or interest in understanding what the speaker is specifically referring to about ""the Japanese one.""",1,"The listener's response lacks any expression of understanding or interest in the speaker's potential curiosity or emotional state regarding the ""Japanese one"" mentioned. The response is factual and does not reflect any attempt to engage with the speaker's feelings or thoughts."
I chose my avatar to be a donut because I live eating donuts.,Me too. Delicious! ,1,AJ_1,3,3,3,1,"The listener's response does not demonstrate an understanding or acknowledgment of the speaker's emotional state or situation. While there is a shared interest in donuts, the reply lacks depth and does not engage with the speaker's reasoning for choosing the avatar beyond a basic agreement.",1,"The listener's response is simplistic and primarily self-referential, as they only express their own enjoyment of donuts rather than engaging with the speaker's reason for choosing the avatar. There is no demonstration of cognitive or affective empathy towards the speaker's initial sharing, such as expressing interest in their choice or elaborating on the shared enjoyment of donuts in a way that connects more personally with the speaker's sentiment."
I chose my avatar to be a fried egg because I ate a fried egg this morning.,Ahh! I love fried eggs. ,1,JA_2,3,1,3,1,"The listener's response does not demonstrate cognitive or affective empathy. While they share a liking for fried eggs, they do not express any understanding or interest in the speaker's choice of an avatar or their experience of eating the egg. The focus is on their preference rather than an empathetic engagement with the speaker's statement.",1,"The listener responds with a statement about their own preference for fried eggs, rather than addressing the speaker's choice of avatar or the reasoning behind it. There is no evidence of the listener understanding or sharing the speaker's connection between their breakfast and their avatar choice. The listener does not express interest in the speaker's decision or emotional state, thus lacking both cognitive and affective empathy."
