id,seeker_post,response_post
118,My father in law is coming to visit for a whole week and staying at our house!,That's awesome! How long has it been since you've seen him?
120,Not long enough! I am totally dreading it. He does not like me and he is so rude.,Oh_comma_ that sucks then. I hope you guys get along and squash beef?
122,This last Saturday_comma_ I was waiting in the line for the official to sign my driving license documents at DPS. I don't know how_comma_ but i suddenly fell to the ground as if my legs stopped working. It was so embarrassing as there were many people,These people are not people you see everyday. I wouldnt worry about it
124,You are right_comma_ but still i felt like being humiliated in front of these people. Emotional sting would not let me stand still as if nothing happened,Watch some youtube videos of other peoples misfortunes so you can forget about yours quickly!
126,The horror film I saw last night can cause nightmares. It was so scary!,I know how you feel! What did you watch?
128,I ended up watching The Ring! It was ridiculousness.,It is a pretty good horror.
130,I had to do a research project and present it to my professors to graduate. Thankfully I passed!,You must have worked hard for that! I'm sure it's great and you'll pass with a flying color!
132,I worked many long hours. It was stressful but I'm happy to have done well,Yeah_comma_ such a relief to get a huge project done. You must feel proud!
134,I am not in the best city and walking around the other night for a nice walk- someone kept following me.,What city are in right now?
136,In a city in michigan. One of the top dangerous cities in the USA,Oh well_comma_ be carreful.Make sure nobody is following you.
139,My dog saw this cat being chase and scared the other dog away,Wow_comma_ your dog is that cat's hero!
141,For sure. The cat licked her.,I bet your dog is pretty smart. I mean she was able to notice a cat in danger and helped out and all.
143,I was at a Journey concert with my son and he had to go to the bathroom while they were switching out performers.,I would love that show
145,It was a very good show_comma_ but the people were so rude. We had to squeeze through a crazy crowd and didn't make it to the bathroom in time.,Oh well_comma_ it happens
147,I'm planning a surprise party for my brother. I already have all the supplies ready to throw a bash!,I wouldn't be able to keep a surprise like that!
149,Yeah_comma_ I have all the balloons_comma_ food and gifts stashed in my basement!,Sounds like you're ready to go!
151,i have an exam in the next month and am prepared for it,That's good! I guess you studied a lot?
153,yah_comma_ been studying for a while now.,That's good. I am sure you will do great on it.
156,Man I had an absolute blast from the past last week.,Really? What happened?
158,I found my old elementary school. I hear it was going to be torn down next month_comma_ so I toured the inside.,Wow_comma_ cool! Did they let you in? It's so cool you had that opportunity.
161,I'm on a week long vacation from work,I bet that is really enjoyable. Are you going anywhere fun?
163,Yup_comma_ tomorrow I pack up for a cruise. It's going to be very relaxing!,Have fun! That sounds like a great time.
165,I ate the last ramen we had.,Are you in trouble?
167,I may be_comma_ but I think my roomie is pretty cool.,Well they can be_comma_ but make sure you buy it next time. Ramen is super cheap :)
169,I can't believe I just finished my first running race!,Well done_comma_ you must be very proud of yourself.
171,Yes_comma_ I am. About 3 months ago I couldn't run for a minute.,Well done_comma_ great job.
173,I am ok with being average.,I don't think there is anything wrong with average.
175,I agree. Average is good.,We are all average until circumstances require us to be extraordinary.
177,There was a guy I liked and my friend knew it but she set him up with our other friend instead!,What a mean friend person. Did you get mad?
179,I was really upset especially since they are seriously dating now and I have to see them everywhere!,That could have been you..
181,yes_comma_ true_comma_ but there's probably someone out there better than him!,Maybe..
183,I start a new job on monday. I'm sure I'll do great.,I feel sure as well_comma_ you are clearly determined and intentional.
185,Yep and it pays better on top of that.,That's the beauty of it_comma_ I feel motivated now so I need to keep an eye out on my local job market.
188,i was scared walking home alone last night,Oh no. No one available to walk you part way or anything?
190,no i had to walk home in the dark alone,Did anything happen?
192,I am a proud father of 3 lovely girls,Really sorry to be slow to respond. How old are your girls?!
194,That's alright_comma_ they are 8 years old and they are triplets :),Wow! That's amazing. It must be so awesome that they have each other to hang out and have fun with.
196,I lost my cat and can't find her. She just disappeared one day and I don't know where she is.,have you called any rescue center yet?
198,Yes and they said they have no record of a cat that matches her description. I miss her terribly.,Lets hope it will trace the house back
200,I went to register my youngest daughter for school today.,Was it stressful?
202,It maybe would have been if anyone was at the school. I really don't want her to go there but the private school had too long of a waiting list for this year.,They school was locked up? I can't imagine. My first born is due in December and i'm all ready stressed about school.
204,It was open and they just left flyers. I don't even know who my childs teacher is. The public schools here are trash.,Wow_comma_ that sounds like where I went. Have you considered a charter school?
206,I'm going to get her in the private school my oldest went to. It will be fine she is only ine pre k now.,I would be scared. They are so impressionable at that age.
208,I'm asking my girlfriend to marry me this weekend.,wow. congratualations. do you think she is expecting it?
210,She has no idea!,what is the plan?
212,i just went to a wedding this weekend_comma_ it was very emotional.,They usually are. Who's wedding did you go to?
214,it was my cousin's_comma_ it was intense because i grew up with him you know.,Of course! I'm sure he appreciated you being there!
217,So i was taking a friend home from work one day and it started to rain as we got to his place. Like a down pour.,Did he get soaked?
219,Nope because the umbrella he forgot a while back was in my car.,That's good
221,Oh man. The other night I did something GROSS,Uh oh_comma_ what did you do?
223,I ate some nasty mushy eggplant for dinner!!!,Ew_comma_ that does sound gross. Was it some sort of bet or that's all you had?
226,Went camping with my husband and he forgot to grab his overnight bag. Luckily_comma_ I had a list and made sure to grab it for him.,That's great that you were able to anticipate his needs. I try to do the same for my husband.
228,They would be lost without us I think!,Yes_comma_ I think so too.
230,I found a long grey hair in my sand witch this afternoon when I went out to lunch.,Was it yours?
232,No_comma_ that's what makes it so gross. Must have been a workers.,Eww. Im sorry about that. That would have ruined my lunch quickly
234,He simply accused me of stealing from him_comma_weve been friends for like 10 years now,that is awful_comma_ why did he do that
236,dont know why,did you tell him the truth?
238,I really miss my old house sometimes,I know the feeling. Why did you move
240,It was my childhood home. all my memories were there. I was quite upset when we moved away,That sucks. I hope we never sell my grandmas home. Too many memories
242,I spent time today folding up all of my daughter's dance shirts from the time she was 2 years old.,That sounds very nostalgic. How old is she now?
244,She will be 16 next month - time flies doesn't it?,It is indeed. I wish i could back to my childhood times. No hassle_comma_ no stress of paying bills. Adulthood is really difficult
246,I wish I could afford all the material items people have around me,like what kind
248,Fancy cars_comma_ clothes_comma_ and just peace of mind to swipe a card and not have stress,dont we all
250,I was supposed to be off work 3 hours ago. I'm still here,Are you working while you are at work?
252,hahaha yea. Might as well do something instead of sitting around waiting on this shipment.,Smart man smart man.
254,I feel horrible. I cheated on my husband last night.,You continues a series on Netflix I hope and not the other thing
256,I feel awful I shouldn't have done it.,You shouldn't have. What happened?
258,I worked in a nursing home while I was in nursing school. I have since gone back to the home to visit my old patients to check in on them.,that must be a heart warming reunion to see your old patience
260,It is! I miss seeing them daily. I like going to see that they're doing okay,that is really good to hear_comma_ I bet they loved seeing you again
262,My 14 year old daughter applied for an internship all m herself for over the summer,Wow_comma_ that is impressive_comma_ I could not do that at that age
264,She got it too. She was able to work at the schools summer camp and get a free week of camp herself!,Wow_comma_ she has a bright future ahead of her if that is the case
267,I tried a new lasagna recipe and it turned out amazing!,Really! That's awesome! Was there something new in it you don't usually use?
269,Yeah quote a few ingredients and a littlr e more work but totally worth it,I think lasagna is one of my favorite things to make
271,I have my performance appraisal tomorrow at work! I am really nervous!,How long have you been working for the company?
273,This will be my first one! I don't know what to expect and that is why I am so nervous!,I think you will do okay! Get as much rest as possible tonight just in case they do an interview!
275,I drank my roommates beer last night. I feel pretty bad about it.,That's pretty rude. Are you going to buy him some more beer.
277,Yea but he was leaving early to go tailgate and I didnt have time.,Man.. I'm glad you're not my roommate.
279,i hate when someone does not take the hint to stop talking,With those kind of people you just have to be blunt. If that doesn't work then it's time to excuse yourself from the conversation.
281,i really do agree. that is usually my approcah,You are usually left with no other option.
283,about today's work,Okay_comma_ I'm feeling nostalgic about my childhood.
285,ya mee too i like my brother,it was a long time ago_comma_ but I still remember it well.
288,i moved into a new apartment yesterday. when i was asleep last night i thought someone was breaking in,Oh that sounds so scary!
290,it was...i checked it out. turns out it was a stray cat. the toaccording to neighbors the old tenant used to feed it when it would scratch at the window,Oh thank goodness it wasn't serious.
292,I have had enogh of this summer heat. Cmon autumn!,I agree. I love autumn.
294,It gets do hot in memphis. My daughter is ready for school to start back anyway_comma_,I love Memphis.
297,He seams fine when I talk with him but I know he is not. H has had a problem with substance abuse in the past,That's really rough. Do you think he may have relapsed?
299,Well My stepmom just died last week and I am concerned for him greatly,I would be too. Going through something like that can take a toll on anyone_comma_ and makes it hard to cope with everyday life. I hope he gets the help he needs.
301,I have two beautiful daughters.,That's incredible. How old?
303,10 and 13 years old.,What great ages!
305,I watched my daughter start high school this week,How did that make you feel?
307,I was thinking back to when it just seems like yesterday I was walking her to her first day of kindergarten.,I understand that_comma_ I get that could make you emotional_comma_ I hope time slows for you!
309,I was doing a team thing_comma_ and we won so i was happy,what was the team activity?
311,We had to do a presentation for a job,I'm happy it went well for you!
313,My sister just got a huge promotion and her husband bought her a new house.,Congrats. They must be excited.
315,Eh_comma_ I don't care. I'm bitter about it,I am sorry to hear that. Why are you upset about this?
317,i almost wasnt going to take my pharmacy tech certification exam. was too expensive,What did you decide to do instead?
319,luckily my aunt paid my fee of $275 as an early birthday gift. i passed the test,That's lucky of you_comma_ do you plan on being a pharmacy tech?
321,MY best friend and I have worked together for ten years.,Wow thats a long time to work together did yall meet at work?
323,We did. Now she is leaving and moving away,Thats sad. Im so sorry to hear that!
326,Our home was broken into.,Fluff that stinks_comma_ did you shoot em?
328,We weren't home!,sheesh what a bummer!
330,My husband's sister was living with us. She was acting rude so we had to kick her out.,Oh no that is terrible. Are you guys still talking now?
332,No not at all it's a little tense.,Well that is not good. What did she do that was so bad?
335,I seen this guy driving his motorcycle only on his back wheel today. It was crazy,Haha_comma_ I've seen plenty do wheelies. I've seen a few crash too_comma_ sadly
337,Oh no_comma_ yeah he seemed like he had it under control. It was pretty cool.,That takes a lot of nerve_comma_ so kudos to that guy. I'd never do that because I'd probably die lol
339,i trusted my friend with my credit card,Uh oh.... I'm afraid to ask_comma_ how did it go?
341,it actually turned out ok_comma_ i was scared but i was too sick to get to the store myself,I lent my credit card to my sister one time and it did not go well. She still owes me to this day.
344,I was supposed to go to Busch Gardens last weekend.,Did you not go?
346,It was raining and we had to cancel.,That stinks. You should go this weekend?
348,I was able to save a blind lady from falling down an escalator.,Is she ok? Im glad you were close by!
350,She was very alarmed and rightfully so. I'm usually not a nice person_comma_ but I'm glad I did the right thing that time!,That is really cool of you to do_comma_ Did anyone else see it happen?
352,I haven't seen my girlfriend in a week_comma_ I'm feeling pretty alone at the moment. I need some quality time,i hear ya there
354,yeah man just need some companionship. Good thing I got you.,oh boy
356,I applied for a job last week,How did that go then?
358,seemed ok_comma_ hoping they call me back,I'd hope so too!
360,I saw a guy convince someone to give them there phone,Mustve been some good convincing. Was it a robbery?
362,nope i was very surprised by how good of a con man he was,Yea_comma_ my phone is pretty expensive. Im not giving my phone to anybody
364,so this past sunday i cooked my first meal for my family. it turned out really good.,Oh_comma_ that sounds so exciting! What did you make?
366,seafood pasta_comma_ im so proud of myself.,Oh_comma_ sounds yummy! I love seafood.
369,I am so happy for all the presents that I got at my birthday party!,That's nice. Did you have a party?
371,Yes and it was at Disney Land!,That's excellent. What was your favorite present?
373,My armadillo bit me today. Never felt so irked!,Oh wow. I wonder what that kind of bite feels like. Did it hurt?
375,Naw_comma_ he's just a little thing. I was just a bit annoyed because I don't want it to be a habit.,Right_comma_ have to train them not to I suppose_comma_ if at all possible.
377,I am excited for the next football season_comma_ the Eagles could repeat_comma_ who knows,Are you a big Eagles fan?
379,I am excited for the next football season_comma_ the Eagles could repeat_comma_ who knows,Are you a big Eagles fan?
381,I used to consider myself a foodie.,I consider myself a foodie now. Im skinny_comma_ but I love food
383,I would try anything until I had escargot on a cruise and it was awful,oh noo
386,I was at a restaurant recently where the waiter refused to wait on a black couple,That's awful. It's a shame that there's still racist people in 2018!
388,I know. I got so mad at the things she was saying_comma_ I left the restaurant myself after offering to take the couple somewhere else to eat,I would have done the same thing.
390,I've been working really hard on this project at work for the last few months. Suddenly today my boss took the project away from me for no reason!,Oh no that's horrible. Did he even ask?
392,No. It was just a total shock to me.,That's awful. I'm sorry that happened to you. Maybe karma will come around on your boss.
394,You'll never guess what I saw on the road today.,Do tell
396,I saw a bear crossing the road a mile from my job.,That's neat! I've only seen ducks and chickens. A deer did bounce over my car once_comma_ though
399,My dog died today :(,I am so sorry to hear that. Was she able to go surrounded by you guys?
401,Yes_comma_ she had cancer so we knew she was going to pass soon. My daughter won't stop crying.,It's hard to lose a family member like that. You guys should take some time to grieve.
403,I woke up in the middle of the night yesterday thinking something had crawled on me.,I would have screamed.
405,Yea that stuff freaks me out but I turned the light on and couldn't find anything.,You should have checked the entire house!
407,So I was in a yoga class last week when something happened...,what happened?
409,I bent over and my pants ripped!,oh my god_comma_ how embarrassing was that?
411,The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.,It must be nice to have that kind of trust for someone_comma_ and motorcycles can be fun!
413,Yes_comma_ It was so much fun. I didn't want it to end.,Awesome. I've only rode dirt bikes personally_comma_ but i definitely see the appeal.
415,My brother always takes my hot sauce.,From your house?
417,Yeah_comma_ I get so irritated when he does that.,Why wouldn't he just go to the store and buy his own?
419,i have a box of baby stuff from my twins that i have kept since they have been babies. they are 25 now,thats very cute to do that
421,it always reminds me of when they were little,yea i bet it does
423,I believe in my abilities more now_comma_ i am surprised but today i managed to write amazing 3 line code to do the base 64 decode process,that is great! I'm also learning to write code.
425,oh really? what language on?,HTML/CSS/Java. I'm excited about a career change.
427,I am satisfied this week_comma_ I have delivered a good project on time.,Thats great! For school or work?
429,It is for work. I work in IT.,That is a tough field to work in_comma_ alot of people rely on you
431,Have you ever prepare for something for a long period of time. And it still not turn out how you wanted it to.,Yeah I guess that happens every once in a while. Something you went through recently?
433,A track meet I had been training for_comma_ for bascially my entire life.,Oh that's too bad. I'm assuming you didn't win?
435,I think my daughters boyfriend is so respectful. I really like him.,That's good. I hope she found someone who treats her well.
437,Me too. He asked me if it would be ok to asked her out on a real date. He is taking her to dinner and a movie Friday.,That's really sweet. I bet your nervous though.
440,One of my love birds had a baby but she is a terrible mother. So I am now taking care of the baby and feeding her everyday. She is so cute!,Ah what a responsibly to take on! You are a great example_comma_ is it quite tough?
442,No. The baby bird just sleeps and eats do it is really easy.,Alot easier than a kitten or a puppy then?
444,Yes! I think so_comma_ haha!,Keep up the good work!
446,So today my mother brought over a whole week of meals to help me out.,Aww_comma_ that was sweet of her. Does she do that often for you?
448,Yes_comma_ she's always helping me out! I am so thankful for her she's an amazing mother.,That's wonderful. It's nice to have someone in life who cares for your well being.
450,My brother_comma_ dumped out all of my cards on the floor.,Oh man that stinks. What did you do in response?
452,i cried for a few days afterwards,Did he ever apologize?
454,I moved to a rural area recently. At night I've been hearing all kinds of weird animal noises and I see large foot prints near my home in the morning. It's scary as all heck out here at night!,Oh yeah I could imagine. I've always lived in big cities. I couldn't imagine having to deal with true darkness and wild animals!
456,You hit the nail on the head with the total darkness! There isn't a street light in sight. I need to invest in my some good outdoor lights so I'm not so paranoid!,Yeah. I do remember camping out a few times back in school. I couldn't get used to the pitch blackness at all!
459,My dog bit a lady's dress_comma_ it made me feel very ashamed_comma_ she was almost naked in the street,That's quiet funny though
461,It was a bit funny_comma_ but it was very bad of him to do so,Yeah - what did she do?
463,i was so furious when i found out that my best friend and girl friend had made out,Oh dear me.. So sorry to hear that! what did you do?
465,I have not confronted them. I am still thinking over it.,I really hope things work out for you my friend
467,Just got back from a job interview. I was able to answer all the questions and the recruiter seem impressed.,Thats a great way to start
469,Yep. It is!,good luck going forward
471,My friend is going to across the country. I miss seeing her almost everyday,is she coming back ?
473,In 4 years or so. She'll visit of course_comma_ but it's not the same as seeing her everyday.,oh yea .. well you can facetime or video chat in the meantime!
475,I love looking after my grandma! She is 94 and it makes me feel good to help her in any way I can!,That is absolutely wonderful! What a great grandchild you are. Not everyone wants to care for elderly relatives.
477,She deserves it for everything she has done throughout her life.,For sure. We sometimes forget that the elderly were young once and did so much like working_comma_ raising and caring for their families.
479,I took my car into get serviced and it ended up costing twice what I had budgeted. I'm going to be short again this month.,That's really bad_comma_ what are you going to do?
481,I'm not sure_comma_ I might have to ask my mom for a loan.,Well at least you have a safety net.
484,There's a new computer cafe about to open up near me. Would love to make some new gaming friends,That sounds awesome. I didn't know such places existed.
486,Neither did I_comma_ but they're gradually opening up.,Do they serve coffee? Like starbucks?
488,I felt upset when I forgot to ask my friend to dinner.,I'm sure they will understand. You can always have another dinner_comma_ that's the beauty of life!
490,That is true. Good way to look at things!,Where did you end up going?
492,That was scary!,What happened?
494,I went to a haunted house_comma_ it had so many ghosts.,I don't do haunted houses lol
496,It was really crazy_comma_ there was a chainsaw guy too.,I would have dies
498,I found my old senior yearbook the other day,That must have been fun to go through and remember the good old days.
500,Yeah it sure was. A lot of memories of old friends!,I love going through old memories and reliving the glory days. Are you still friends with some of the folks you knew back then?
503,I recently got a new haircut.,How did you like it?
505,I love it_comma_ I feel very good about myself now!,Great! A new look can certainly help feel refreshed_comma_ at leas it does it for me.
507,Cox my old phone was bad,What was bad about it?
509,My phone fell off the stairs_comma_ so I was expectant of getting a new one,Did you get a new phone?
511,At dinner with my friends_comma_ I choked on water and coughed it up all over the food,Oh lord_comma_ that made me almost vomit! I choke easy too_comma_ I am sorry!
513,That's ok! I just felt so bad for my friends.,Not your fault at all! Somethings can't be helped.
515,When my son was 14_comma_ he got a black belt in Karate. He had to work hard for that.,Wow. You must be proud of him. Congratulations
517,Yes_comma_ it has been some years not_comma_ but I really was. He was in Karate for 8 years at that time.,I see. It was many years of work. I guess his classmates were afraid o him_comma_ not everybody is black belt so young.
519,I ordered a 6 piece chicken nugget from McDonald's today and got 7 nuggets!,oh wow.. i call that a win!
521,Definitely! I was stoked! Totally made my day!,thats awesome
523,I was getting ready for a big presentation at work the other day.,How did it go
525,It ended up going really well but I was really nervous about it beforehand.,I am happy for you
527,Last week I saw a three piece rock band that sounded so huge that I was sure they were playing with a backing track. I asked their tech_comma_ and checked their equipment and guess what!? It was just them!,It was who_comma_who were them?
529,I'm sorry if I was unclear_comma_ I mean that the band were playing completely live (with no backing track).,Ok_comma_thats amusing
531,I came home to my back door being kicked in,Sorry to hear that. Do you think it was an intruder or just some prankster?
533,Intruder they went through all of my stuff,Did they take your television?
535,The other day_comma_ there was a movie I wanted to see. I invited a friend to go with me_comma_ but they decided they didn't want to come because they were going with another friend.,That really sucks... did you tell them how that made you feel?
537,No...I guess I should have. I guess I really think they should have went with me too_comma_ or invited me to go with them.,I would tell them.. and if it happens a 2nd time then they arent very good friends to have! :/
539,Its always exciting to come to the end of a programme succesfully,A workout program?
541,Are u working out on yourself?,I'm a division 1 strength coach.
543,i go to the same place to eat breakfast every morning for the past 10 years,they must be a really good resturaunt
545,it is.. good .. big portions and a reasonable price,those are definitely reasons to keep going back_comma_
547,I saw a fat ole rat slinking around my garage when I was taking the garbage out.,That is nasty. What are you going to do?
549,I'm thinking about hiring an exterminator. I can't gave vermin like that running amok around my house.,I am with you
551,My sister passed away several years ago. I really had a hard time with the grief and couldn't really relate to anyone that tried to help me with it.,i'm sorry to hear that. i know exactly what you are going through. My brother tragically passed away 2.5 years ago. He was only 32
553,Yes_comma_ I'm sure you can relate as well. Ironically_comma_ that was the same age that my sister passed away. She took her own life_comma_ which my mother and I found her_comma_ and it was very hard for us all. But_comma_ I couldn't burden my parents with my pain_comma_ I felt.,I know how hard it was for you. My parents and my brother lived in a different country so i couldn't even go there at that time to be with them. I felt heartbroken and alone
555,I told my friend that a guy didn't like her. I like him so I didn't want her to go after him. I feed bad though because he might have a thing for her.,What do you think you are going to do_comma_ are you going to talk to him and find out?
557,I guess to make things right_comma_ I'll find out and if he says he does like her_comma_ I'll just do what's right and try to get them together. If we're not meant to be then we're not meant to be.,Or you could find out he has a thing for you! I hope either way that it works out for all of you.
559,I invested a lot in shares. One day one of my important share went down.,Neat! I invest a lot too! I have Century Link and it was up slightly today. Did any of your others go up?
561,No_comma_ that was a time when share market crashed. August 2015. I was very nervous at that time.,Oh gotcha! Well at least it wasn't as bad as the crash of 2008.
564,Someone broke my window with a soccer ball. I made angry. I couldn't find who it was,Oh no! I hate that happened and I bet it was scary because it looked like someone broke in. But now you have a repair bill. Sorry that happened to you.
566,Yes_comma_ it was scary. I was watching TV when happened.,I hope the person's conscience makes them feel guilty and they come clean about the situation! And hopefully reimburse you!
568,My girlfriends really quiet and she tends to scare me a lot.,What is scary about what she is doing? I'm not quite understanding what you mean.
570,Well_comma_ when shes dealing with her own personal issues she tends to kind of just vanish_comma_ I haven't talked to her in a few days and it's making me worry.,Oh wow_comma_ I can see why you're worrying. You should really talk to her about all this if she comes around soon.
572,i have a big presentation at my job at the end of this week. I am ready for it,Awesome! What's it about?
574,its about how some customers are not choosing our slow moving products. i have been working on it for weeks. i got it nailed down,Congrats! I hope it goes well. Are you presenting to a board of directors?
576,I am looking forward to the new pizza joint opening here.,yes! pizza is on of lifes simple joys_comma_ what is your favorite kind of pizza?
578,New York style pepperoni. I can't wait to try it.,ohhh yes_comma_ NY style is thin crust right?
580,I was scared over the storm last night. I do not like bad weather,I understand. I don't like bad weather either.
582,Its the worst,Was it a tornado?
584,I did well at work this week. I was happy with myself,Are you gonna get a bonus for it?
586,I am hoping so,Good_comma_ best of luck with that_comma_ you deserve it!
588,As the day was coming to an end_comma_ I was begging to believe that my solitude was perfect.,Well in some ways solitude is nice.
590,Yes if you take it in portions.,True everything is nice in bits. Too much of anything does get tiring.
592,I was home by myself when the power went out and I heard a strange noise!,Oh_comma_ that sounds scary! Did you find out what it was?
594,No. I was too scared to look so I looked myself in my bedroom.,Well it was probably nothing to worry about because you seem alright now. :)
596,I got locked out of my house today and couldn't shower despite being really sweaty.,Sorry to hear that.Are you still locked out?
598,Yes I am just at my friends house waiting for my parents to come home to unlock it.,Well_comma_ you just have to be patient.
600,My pet shows his love at extreme_comma_ whenever I return to home from outside.,What kind of pet?
602,it's puppy.,How cute_comma_ what's his name?
604,Went to the bowling all by myself yesterday. It was quite lonely.,You cannot enjoy bowling all alone. It is a group game. Don't you have any friends to invite?
606,Naw_comma_ my friends ditched me last night. It was a horrible night.,What happened? Is it something because of you or him?
608,My parrot doesn't talk anymore.,Oh. Do you know why?
