id            ,speaker_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,listener_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,s_negative    ,s_neutral    ,s_positive   ,l_negative   ,l_neutral    ,l_positive   ,predictions_ER ,valence_speaker     ,arousal_speaker      ,dominance_speaker    ,valence_listener     ,arousal_listener     ,dominance_listener   ,s_word_len ,l_word_len ,agreeing             ,acknowledging        ,encouraging          ,consoling            ,sympathizing         ,suggesting           ,questioning          ,wishing               ,neutral              ,mimicry ,empathy
sub_1_conv_6  ,"Yeah, right? It's like they don't understand that we actually have a life and things to do outside of work, right?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"Yes, true."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,0.60273343    ,0.3515773    ,0.045689262  ,0.032975968  ,0.5030221    ,0.464002     ,             1 ,0.42875             ,-0.147               ,0.21975              ,0.792                ,-0.128               ,0.554                ,        21 ,         2 ,0.32051882147789     ,0.665991961956024    ,0.0010741698788479   ,0.000727230100892484 ,0.000700809818226844 ,7.11978791514412E-05 ,0.000676355557516217 ,0.0091764647513628    ,0.00106292066629976  ,      1 ,      1
sub_1_conv_6  ,"That sucks, honestly"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"Yes, I agree"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,0.9459494     ,0.046428476  ,0.0076222103 ,0.017459719  ,0.22218877   ,0.7603515    ,             1 ,-0.312              ,0.412                ,-0.246               ,0.812                ,-0.48                ,0.09                 ,         3 ,         3 ,0.997326254844666    ,0.000358439894625917 ,0.00154484889935702  ,0.000227450756938197 ,4.16950861108489E-05 ,0.00019281120330561  ,8.29070559120737E-05 ,8.46085531520657E-05  ,0.000140945499879308 ,      0 ,      1
sub_1_conv_7  ,"So I saw someone outside just buy ice cream, but they pulled out like one of those packets and put mayo on it. They were eating that like right outside, like vanilla ice cream and mayo."                                                                                                                                                                                                                                                                                                                                                                                                           ,"I can't imagine, that's so disgusting yes"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,0.19190325    ,0.6952402    ,0.11285657   ,0.97141427   ,0.023603195  ,0.004982651  ,             0 ,0.258266666666667   ,-0.259866666666667   ,-0.167733333333333   ,-0.21                ,0.276                ,-0.168               ,        36 ,         7 ,0.000203237344976515 ,0.996140062808991    ,0.000262606394244358 ,0.00218432187102735  ,0.000115054150228389 ,4.13417474192102E-05 ,6.12048752373084E-05 ,0.000329246540786698  ,0.000662983977235854 ,      0 ,      1
sub_1_conv_7  ,I have no idea how they ended up like doing that like there's a point where sweet and sour is just no excuse you know                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,I really can't imagine. I never want to try that.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,0.67829525    ,0.29667205   ,0.025032673  ,0.9296512    ,0.06339895   ,0.0069498257 ,             0 ,0.1372              ,-0.121               ,-0.0206              ,0.356                ,0.115333333333333    ,0.160666666666667    ,        25 ,        10 ,0.00161716842558235  ,0.745238125324249    ,0.000157759364810772 ,0.000234933700994588 ,0.000472388637717813 ,0.00027859874535352  ,0.000262017012573779 ,0.0013246041489765    ,0.250414401292801    ,      0 ,      1
sub_1_conv_8  ,"So I'm really looking forward to having a trip overseas. I've been looking forward to this for a while and now that it's a month away I feel like it's already here, you know?"                                                                                                                                                                                                                                                                                                                                                                                                                      ,"Yes, me too. And where do you want to go if it's possible?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,0.002840902   ,0.020087907  ,0.9770712    ,0.021408174  ,0.7441406    ,0.23445116   ,             0 ,0.598571428571429   ,-0.132               ,0.198571428571429    ,0.246                ,-0.0673333333333333  ,0.06                 ,        34 ,        13 ,8.45137547003105E-05 ,0.000482568459119648 ,5.22984300914686E-05 ,9.76424689724809E-06 ,8.84889450389892E-05 ,0.000187238925718702 ,0.998649656772614    ,0.000260220927884802  ,0.000185363285709173 ,      1 ,      1
sub_1_conv_8  ,"I'm going to take a trip to Pakistan. I'm going to see a very different culture from mine. And I won that in a contest, so I feel like I'm very blessed."                                                                                                                                                                                                                                                                                                                                                                                                                                            ,I think that will be very interesting                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,0.0016184107  ,0.013883345  ,0.9844982    ,0.0027876042 ,0.028613903  ,0.9685985    ,             0 ,0.4978              ,-0.1006              ,0.0758               ,0.607333333333333    ,0.028                ,0.389333333333333    ,        32 ,         7 ,0.00196110317483544  ,0.719975292682648    ,0.00269649759866297  ,0.137728303670883    ,0.000975952250882983 ,0.12810318171978     ,0.00130584998987615  ,0.000164887605933473  ,0.00708886748179793  ,      1 ,      1
sub_2_conv_1  ,So I used to live near a place that had like a lot of rich people properties. Like people with jet skis and all-terrain vehicles and all of that stuff. And it made me feel like really sad that I could never afford that kind of stuff and people just like use them regularly it was kind of depressing                                                                                                                                                                                                                                                                                            ,I could see how that's really depressing is there like any way you got over that?                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,0.9012801     ,0.08506007   ,0.013659816  ,0.924704     ,0.06968841   ,0.0056075975 ,             0 ,0.260538461538462   ,-0.167923076923077   ,-0.0399230769230769  ,-0.00999999999999999 ,-0.272               ,-0.303               ,        59 ,        16 ,8.02458525868133E-05 ,0.000474142580060288 ,2.57913361565443E-05 ,2.95630325126694E-05 ,0.00119409977924079  ,0.00367870018817484  ,0.994189739227295    ,0.000130595915834419  ,0.000197045083041303 ,      0 ,      2
sub_2_conv_1  ,At some point I just made peace with it and just realized that some other people are having like better lives thanks to chance. But yeah it still bothered me sometimes.                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Yeah, I think that's a healthy way to think about it. Yeah, a lot of things in life is just... has to do with luck."                                                                                                                                                                                                                                                                                                                                                                                                                                  ,0.18366067    ,0.50109714   ,0.3152422    ,0.024259888  ,0.40932807   ,0.566412     ,             0 ,0.548857142857143   ,-0.217142857142857   ,0.0857142857142857   ,0.4355               ,-0.262               ,0.16125              ,        31 ,        25 ,0.000212107319384813 ,0.000965712941251695 ,6.3513609347865E-05  ,2.74126396107022E-05 ,0.000250896177021787 ,8.04795272415504E-05 ,8.5710380517412E-05  ,0.996713995933533     ,0.00160012301057577  ,      1 ,      2
sub_2_conv_1  ,"Yeah, we just have to keep on keeping on and I guess... do the best with what we have, right?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Yeah, I think so."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,0.0120959105  ,0.28461668   ,0.70328736   ,0.044007074  ,0.6140114    ,0.34198147   ,             0 ,0.3772              ,-0.288               ,0.206                ,0.572                ,-0.184               ,0.236                ,        20 ,         4 ,0.00104867294430733  ,0.0131256133317947   ,0.000112088622699957 ,3.76901734853163E-05 ,0.0129026751965284   ,0.951388239860535    ,0.00356277218088508  ,0.0165031347423792    ,0.0013191212201491   ,      1 ,      2
sub_2_conv_2  ,So once I was in my house and there came a really really big spider out of the ceiling and I didn't want to kill it so I just thrust it to like for it to fall on my hand and then and just went to the window and threw it away.                                                                                                                                                                                                                                                                                                                                                                     ,"You're very trustworthy of bugs. Like, how do you know that it's not like a spider that could harm you? Like, if it's hanging, it's like kind of far, right?"                                                                                                                                                                                                                                                                                                                                                                                         ,0.5988801     ,0.36579192   ,0.035328012  ,0.19047475   ,0.62862206   ,0.18090324   ,             0 ,-0.0270909090909091 ,-0.028               ,0.0225454545454545   ,0.216                ,-0.162               ,0.0252307692307692   ,        52 ,        30 ,0.000663235492538661 ,0.000120146774861496 ,6.27024055575021E-05 ,4.61563613498583E-05 ,8.37187690194696E-05 ,0.000164890647283755 ,0.998676121234894    ,3.30728362314403E-05  ,0.000149871848407201 ,      0 ,      1
sub_2_conv_2  ,"I didn't know, actually, but I figured that if it continued to go down into the bottom of my hand, that it would be fine."                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"That's really interesting, because if I saw any spider, I would probably just want to get rid of it at any cost. I probably wouldn't care if I had to kill it or not, because I would be too afraid that it would kill me or something."                                                                                                                                                                                                                                                                                                              ,0.055557095   ,0.58892334   ,0.35551956   ,0.3281783    ,0.4454204    ,0.22640125   ,             0 ,0.195714285714286   ,-0.263428571428571   ,-0.0151428571428572  ,-0.176571428571429   ,0.166142857142857    ,0.0297142857142857   ,        25 ,        47 ,0.00193173601292074  ,0.930157721042633    ,0.000466388650238514 ,0.00248785805888474  ,0.000279837840935215 ,8.32742152852006E-05 ,0.000144582605571486 ,0.000340206344844773  ,0.0641083791851997   ,      0 ,      1
sub_2_conv_2  ,"Yeah, but they're animals. They're not going to hurt me, I think. I mean, some of them have venom and stuff."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,I think that's just really trusting of something that you don't really know how it thinks.                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0.34722587    ,0.5573721    ,0.09540206   ,0.21430434   ,0.6250486    ,0.16064711   ,             0 ,-0.0534285714285714 ,0.0525714285714286   ,-0.0317142857142857  ,0.597                ,-0.1575              ,0.345                ,        21 ,        16 ,0.985792577266693    ,0.0119321579113603   ,0.000239245186094195 ,0.000121528682939243 ,0.000118698757432867 ,5.84651716053486E-05 ,0.000226877309614792 ,0.000106057945231441  ,0.00140445283614099  ,      0 ,      1
sub_2_conv_3  ,So the other day I was really afraid because I think I saw someone die. There was someone that was going down the stairs at one of the stations and he fell and I thought he was going to be okay but he wasn't moving and there was blood and stuff. I didn't stay there but it was a very frightening experience.                                                                                                                                                                                                                                                                                   ,"Oh god, that sounds terrifying. Did you ask for help? Did someone help them or did you just leave? What happened? And are you okay?"                                                                                                                                                                                                                                                                                                                                                                                                                  ,0.8832496     ,0.1060499    ,0.010700604  ,0.88533413   ,0.10804949   ,0.0066163805 ,             0 ,-0.0535294117647059 ,-0.0148235294117647  ,-0.071764705882353   ,0.0874285714285714   ,0.0497142857142857   ,0.0171428571428572   ,        62 ,        25 ,5.02357397635933E-05 ,6.21957588009536E-05 ,2.14353040064452E-05 ,2.57941428571939E-05 ,0.000197095840121619 ,0.000683406367897987 ,0.998676955699921    ,7.0554502599407E-05   ,0.000212378377909772 ,      0 ,      3
sub_2_conv_3  ,"Yeah, I'm fine now. A lot of people just congregated around and then like the police came and they like carted off the area and stuff. But oh man, that was really terrifying at the moment."                                                                                                                                                                                                                                                                                                                                                                                                        ,"Yeah, that's... I would hope that you'd never experience that again. I hope I'd never see that kind of thing happen. I hope they're okay. But yeah, good to know that you're doing okay."                                                                                                                                                                                                                                                                                                                                                             ,0.6240895     ,0.3212653    ,0.05464523   ,0.23130046   ,0.45397833   ,0.3147212    ,             1 ,0.1202              ,-0.145               ,0.0154               ,0.542363636363636    ,-0.252545454545455   ,0.186909090909091    ,        36 ,        34 ,0.000572515593376011 ,0.00402605021372438  ,0.0242085065692663   ,0.969537615776062    ,0.00021357559307944  ,4.52361855423078E-05 ,7.32411499484442E-05 ,0.000157919304911047  ,0.00116541224997491  ,      1 ,      3
sub_2_conv_4  ,"So I don't really trust those dating apps and stuff, so I recently had the help of a friend to set me up on a blind date and it really went well, I had a lot of fun and it shows that sometimes like going the traditional route is better than using all that fancy technology"                                                                                                                                                                                                                                                                                                                    ,yeah i feel like i've never had luck with that either like usually i mean going for friends or friends is like one of the best ways um but like what kind of stuff did you do like was it fun                                                                                                                                                                                                                                                                                                                                                          ,0.021197062   ,0.10335144   ,0.8754515    ,0.0729227    ,0.38102734   ,0.54604995   ,             0 ,0.420714285714286   ,-0.0814285714285714  ,0.107142857142857    ,0.4644               ,-0.177733333333333   ,0.0196               ,        56 ,        41 ,0.000108454885776155 ,7.00482487445697E-05 ,1.44133155117743E-05 ,3.38089630531613E-05 ,0.000149783096276224 ,9.55990763031878E-05 ,0.000154064924572594 ,0.00123197247739881   ,0.998141884803772    ,      1 ,      2
sub_2_conv_4  ,oh we went to an amusement park and then we went to watch a movie and we ended up like with a really not that fancy dinner but it was like a really good dinner you know and we ended up talking for hours and it went it went really well. I'm really glad that I decided to go with that experience.                                                                                                                                                                                                                                                                                                ,Well that sounds like a really good first date. I think that's very surprising because I feel like usually first dates are very hit or miss                                                                                                                                                                                                                                                                                                                                                                                                            ,0.0011467075  ,0.01319929   ,0.98565394   ,0.08766626   ,0.24863596   ,0.6636978    ,             0 ,0.428235294117647   ,-0.0515294117647059  ,0.0538823529411765   ,0.366615384615385    ,-0.0184615384615385  ,0.106615384615385    ,        62 ,        26 ,0.00026542748673819  ,0.998559176921845    ,0.000136680129799061 ,9.11233073566109E-05 ,6.90162123646587E-05 ,0.000106487728771754 ,3.60273370461073E-05 ,0.000615576689597219  ,0.000120407639769837 ,      1 ,      2
sub_2_conv_4  ,"Yeah, I've had ones that haven't gone that well, but it's really refreshing to have a different experience in that field."                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Yeah, glad to hear it."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,0.07466615    ,0.3250193    ,0.60031456   ,0.0028815428 ,0.046763573  ,0.95035493   ,             1 ,0.316               ,-0.193428571428571   ,-0.0177142857142857  ,0.698                ,0.189                ,0.184                ,        21 ,         5 ,0.000855529913678765 ,0.991751849651337    ,6.17456244071945E-05 ,0.000369812070857733 ,0.00312018836848438  ,8.36607869132422E-05 ,0.00010437511082273  ,0.00346295884810388   ,0.00018987366638612  ,      0 ,      2
